nom,cognoms,email,contrasenya,rol,data_naixement
Joan,Doe,john@example.com,$2b$12$wJ91BhVBJnq01tN6iKBMq.K5B6NEOeRwroDg1T8HysmfZXDS/8IlK,usuari,15-05-1990
Maria,Smith,maria@example.com,$2b$12$wJ91BhVBJnq01tN6iKBMq.K5B6NEOeRwroDg1T8HysmfZXDS/8IlK,usuari,23-11-1985
admin1,admin1@example.com,$2b$12$wJ91BhVBJnq01tN6iKBMq.K5B6NEOeRwroDg1T8HysmfZXDS/8IlK,admin,10-03-1978
Laura,Garcia,laura@example.com,$2b$12$wJ91BhVBJnq01tN6iKBMq.K5B6NEOeRwroDg1T8HysmfZXDS/8IlK,usuari,20-08-1993
Marc,Ruiz,marc@example.com,$2b$12$wJ91BhVBJnq01tN6iKBMq.K5B6NEOeRwroDg1T8HysmfZXDS/8IlK,usuari,14-02-1988
admin2,admin2@example.com,$2b$12$wJ91BhVBJnq01tN6iKBMq.K5B6NEOeRwroDg1T8HysmfZXDS/8IlK,admin,05-07-1980
Jordi,Martí,jordi@example.com,$2b$12$wJ91BhVBJnq01tN6iKBMq.K5B6NEOeRwroDg1T8HysmfZXDS/8IlK,usuari,30-12-1995
Pilar,Moreno,pilar@pilar.com,$2b$12$v2W6pAGgdD0ZCWxmwpwdxeSYydkOKVSFBrTcOwHX7hVYGdTjpcvWi,16-09-1972
Maria,Garcia,maria@garcia.com,$2b$12$EntpdEg3mk6Wj7xDqI0RRet7whPpBDpdrX3tgFcN0m9p8SwHR6y9S,16-09-2005
Dan,Maldonado,dan@mal.com,$2b$12$ntOreLN/31fV7Qx89KcBEe22P.YSzNY1XiCx24won7L8RSqgM6OgS,user,07-06-2005
Dan,Maldonado,dan@maldonado.com,$2b$12$tnS9zTcTmqetAi3akNdCo.3myQYwr7QbeZD2hR/vR./GvcN0BIE0a,user,07-06-2005
